key,en,fr,es,nl
live,Live,Live,En Vivo,Live
log-being-collected,Execution log is being collected,Le log d'exécution est en train d'être collecté,Se está recopilando el registro de ejecución.,Het uitvoeringslogboek wordt verzameld
logarithmic,Logarithmic,Logarithmic,,Logaritmisch
login,Log in,Authentification,Iniciar sesión,Log in
logout,Logout,Se déconnecter,Cerrar sesión,Afmelden
magnification,Magnification,Grossissement,Aumento,Vergroting
managed-projects,Managed projects,Projets supervisés,Proyectos administrados,Begeleide projecten
manager-icon-label,You are a manager of this project,Vous êtes un responsable du projet,Usted es asministrador de este proyecto,U bent projectleider
manager,Manager,Responsable,Administrador,Manager
managers,Managers,Responsables,administradores,Beheerders
mandatory,Mandatory,Obligatoire,Obligatorio,Verplicht
manual-annotations-info-message,Annotations created by a user,Annotations créées par un utilisateur,Anotaciones creadas por un usuario.,Annotaties gemaakt door de user
manual,Manual,Manuelle,Manual,Manueel
manual-annotations-vs-contributor,Manual annotations VS. contributor,Annotations manuelles VS. contributeur,Anotaciones manuales por colaborador,Manuele annotaties VS. bijdrager
manual-annotations-vs-term,Manual annotations VS. term,Annotations manuelles VS. terme,Anotaciones manuales por término,Manuele annotaties VS. term
max-size-upload-info,The maximum file size (per file) for uploads is 100 GB,La taille maximale par fichier est de 100 GB,,De maximale grootte per bestand is 100 GB
maximum,Maximum,Maximum,Máximo,Maximaal
medium,Medium,Moyen,Mediana,Medium
members-activity,Members activity,Activité des membres,Actividad de miembros,Leden activiteit
members,Members,Membres,Miembros,Leden
merged-channels,Merged channels,Canaux fusionnés,,Samengevoegde kanalen
min-max,Min/Max,Min/Max,,Min/Max
minimum,Minimum,Minimum,Mínimo,Minimum
mm-per-pixel,mm/pixel,mm/pixel,mm/píxel,mm/pixel
mm,mm,mm,mm,mm
mm-per-slice,mm/slice,mm/plan,,mm/vlak
modify,Modify,Modifier,Modificar,Bewerken
most-active-project,Most active project,Projet le plus actif,Proyecto más activo,Meest actieve project
move,Move,Déplacer,Mover,Verplaatsen
multiple-terms,Multiple terms,Plusieurs termes,Múltiples términos,Meerdere termen
multiple-tracks,Multiple tracks,Traces multiples,,Meerdere tracks
my-role,My role,Mon rôle,Mi rol,Mijn rol
name,Name,Nom,Nombre,Naam
nb-jobs,Number of jobs,Nombre d'exécutions,Número de trabajos,Aantal executies
new-name,New name,Nouveau nom,Nuevo nombre,Nieuwe naam
nb-success-jobs,Number of successful jobs,Nombre d'exécutions réussies,Número de trabajos exitosos,Aantal succesvolle executies
new-ontology,New ontology,Nouvelle ontologie,Nueva ontología,Nieuwe ontologie
new-project,New project,Nouveau projet,Nuevo proyecto,Nieuw project
new-project-with-filtered-images,New project with filtered images,Nouveau projet avec des images filtrées,Nuevo proyecto con imágenes filtradas,Nieuw project met gefilterde afbeeldingen
nm-per-pixel,nm/pixel,nm/pixel,nm/píxel,nm/pixel
nm-per-slice,nm/slice,nm/plan,,nm/kaart
no-account-yet,Don't have an account yet ? {registerLink},Pas encore de compte ? {registerLink},¿Aún no tiene una cuenta? {registerLink},Nog geen account? {registerLink}
no,No,Non,No,Neen
no-annotation-comments,No comment for this annotation so far,Aucun commentaire pour cette annotation,No hay comentarios para esta anotación hasta ahora,Geen opmerkingen voor deze annotatie
no-annotation,No annotation,Aucune annotation,Sin anotaciones,Geen annotatie
no-attached-file,No attached file,Aucun fichier joint,Ningún archivo adjunto,Geen file bijgevoegd
no-default-property,No default property,Pas de propriété par défaut,Sin propiedad predeterminada,Geen defaulteigenschap
no-description,No description,Pas de description,Sin descripción,Geen beschrijving
no-file,No file,Aucun fichier,Ningún archivo,Geen file
no-image-consultation,No image consultation,Aucune consultation d'image,Ninguna consulta de imagen,Geen online afbeeldingconsult
no-image,No image to display,Aucune image à afficher,No hay imágenes que mostrar,Geen afbeelding om weer te geven
no-image-filter,No image filter to display,Aucun filtre à afficher,No hay filtro de imagen que mostrar,Geen filters om weer te geven
no-image-group,No image group,Aucun groupe d'images,Ningún grupo de imágenes,Geen beeldgroep
no-image-recently-opened,No image recently opened,Aucune image consultée récemment,Ninguna imagen abierta recientemente,Geen recent bekeken afbeeldingen
no-info,No information,Pas d'information,Sin información,Geen informatie
no-key-selected,No key selected,Aucune clé choisie,Ninguna clave seleccionada,Geen sleutel gekozen
no-linked-annotation,No linked annotation,Aucune annotation liée,Sin anotación vinculada,Geen gekoppelde annotatie
no-log-to-display,No log to display,Aucun log disponible,No hay registro para mostrar,Geen logboek beschikbaar
no-member-fitting-criteria,No member fitting criteria,Aucun membre ne remplissant les critères de recherche,No hay criterios de ajuste para miembros,Geen enkel lid voldoet aan de zoekcriteria
no-ontology,No ontology,Pas d'ontologie,Sin ontología,Geen ontologie
no-outline,No outline,Pas de contour,Sin contorno,Geen outline
no-preview-available,No preview available,Pas d'aperçu disponible,No hay vista previa disponible,Geen preview beschikbaar
no-profile,No profile,Pas de profil,,Geen profiel
no-project-connection,No project connection,Aucune connexion au projet,Ninguna conexión del proyecto,Geen projectverbinding
no-project,No project to display,Aucun projet à afficher,No hay proyectos que mostrar,Geen projecten om weer te geven
no-properties,No property,Aucune propriété,Ninguna propiedad,Geen eigenschappen
no-property-matching-search-string,No existing property matching {searchString},Aucune propriété ne correspond au texte recherché,Ninguna propiedad existente coincide con {searchString},Er komen geen eigenschappen overeen met de gezochte tekst
no-recent-image,No image recently opened,Aucune image consultée récemment,No hay imagen abierta recientemente,Geen recent bekeken afbeeldingen
no-recent-project,No project recently opened,Aucun projet consulté récemment,Ningún proyecto abierto recientemente,Geen recent bekeken projecten
no-record,No record,Aucune entrée,Sin registros,Geen toegang
no-result-file,No result file,Aucun fichier de résultat,Sin archivo de resultados,Geen resultatenfile
no-result,No result,Aucun résultat,Sin resultados,Geen resultaat
no-selected-annot,No selected annotation,Pas d'annotation sélectionnée,Ninguna anotación seleccionada,Geen geselecteerde annotatie
no-selected-layers,No selected layers,Pas de couche sélectionnée,No hay capas seleccionadas,Geen laag geselecteerd
no-tag-fitting-criteria,No tag fitting criteria,Aucun tag ne remplissant les critètes de recherche,No hay criterios de ajuste de etiquetas,Geen tags die voldoen aan de zoekcriteria
no-tag,No tag,Aucun tag,Sin etiqueta,Geen tag
no-term-to-add,No term to add,Aucun terme à ajouter,No hay término que agregar,Geen term om toe te voegen
no-term,No term,Aucun terme,Sin término,Geen term
no-track-to-add,No track to add,Pas de trace à ajouter,,Geen track toe te voegen
no-track,No track,Pas de trace,Sin pista,Geen track
no-tracking,No tracking,Pas de suivi,Sin seguimiento,Geen tracking
no-uploaded-file,No uploaded file,Aucun fichier,Ningún archivo cargado,Geen file
no-user-fitting-criteria,No user fitting search criteria,Aucun utilisateur ne correspond aux critères de recherche,Ningún criterio de búsqueda adecuado para el usuario,Er voldoen geen users aan de zoekcriteria
none,None,Aucun,Ninguna,Geen
not-available,Not available.,Indisponible.,,Niet beschikbaar.
not-found-error,The requested resource could not be loaded,La ressource demandée n'a pas pu être chargée,El recurso solicitado no se pudo cargar,De gevraagde bron kan niet worden geladen
not-found,Not found,Introuvable,No encontrado,niet gevonden
not-launch,Not launched,Pas commencé,No lanzado,Nog niet begonnen
not-used-in-any-project,Not used in any project,N'est utilisée dans aucun projet,No se utiliza en ningún proyecto.,In geen enkel project gebruikt
nothing-more-to-load,Nothing more to load,Tout a été chargé,Nada más que cargar,Alles is geladen
notif-error-add-image,Failed to add image {imageName} to project {projectName},Une erreur a empêché d'ajouter l'image {imageName} au projet {projectName},Error al agregar la imagen {imageName} al proyecto {projectName},Een fout verhinderde het toevoegen van de afbeelding {imageName} aan project {projectName}
notif-error-add-project-members,Failed to add the selected user to the project,Une erreur a empêché d'ajouter les utilisateurs sélectionnés au projet,Error al agregar el usuario seleccionado al proyecto,Door een fout konden de geselecteerde gebruikers niet aan het project worden toegevoegd
notif-error-add-tag-domain-associations,Failed to associate the selected tags,Une erreur a empêché d'associer les tags sélectionnés,Error al asociar las etiquetas seleccionadas,Een fout verhinderde het koppelen van de geselecteerde tags
notif-error-add-tags,Failed to create the tags,Une erreur a empêché de créer les tags sélectionnés,Error al crear las etiquetas,Een fout verhinderde het maken van de geselecteerde tags
notif-error-add-term,Failed to add the term,Une erreur a empêché d'associer le terme,No se pudo agregar el término,Er is een fout opgetreden bij het koppelen van de term
notif-error-add-track,Failed to add the track,Impossible d'ajouter la trace,,De track mag niet toegevoegd worden
notif-error-add-viewer-image,Failed to add the image,Une erreur a empêché l'ajout de l'image,Error al agregar la imagen,Door een fout kon de afbeelding niet worden toegevoegd
notif-error-already-broadcasting-this-image,You are already broadcasting this image on another view,Vous diffusez déjà cette image,Ya estáa transmitiendo esta imagen en otra vista,U zendt dit afbeelding al uit op en andere view
notif-error-annotation-correction,Error during annotation correction,Une erreur a empêché la correction de l'annotation,Error durante la corrección de anotaciones,Door een fout kon de annotatie niet worden gecorrigeerd
notif-error-annotation-creation,Error during annotation creation,Une erreur a empêché la création de l'annotation,Error durante la creación de anotaciones,Een fout verhinderde het maken van de annotatie
notif-error-annotation-deletion,Error during annotation deletion,Une erreur a empêché la suppression de l'annotation,Error durante la eliminación de anotaciones,Door een fout kon de annotatie niet worden verwijderd
notif-error-annotation-fill,Error during annotation fill,Une erreur a empêché le remplissage de l'annotation,Error durante el relleno de anotación,Door een fout kon de annotatie niet worden ingevuld
notif-error-annotation-paste,Failed to paste the annotation. It is too large for this image.,L'annotation n'a pu être collée car elle est trop large pour cette image,,De annotatie kan niet worden geplakt omdat deze te breed is voor deze afbeelding
notif-error-annotation-link-creation,Failed to link annotation,Une erreur a empêché de lier l'annoation,No se pudo vincular la anotación,Kan annotatie niet koppelen
notif-error-annotation-rejection,Failed to reject the annotation,Une erreur a empêché de rejeter l'annotation,Error al rechazar la anotación,Door een fout kon de annotatie niet worden afgewezen
notif-error-annotation-link-deletion,Failed to unlink annotation,Une erreur a empêché de dissocier l'annotation,Error al desvincular la anotación,Kan annotatie niet ontkoppelen
notif-error-annotation-repeat,Failed to repeat the annotation,L'annotation n'a pu être répétée,,Annotatie kan niet worden herhaald
notif-error-annotation-link-paste,Failed to paste and link annotation,Une erreur a empêché de coller et lier l'annotation,Error al pegar y vincular la anotación,Kan annotatie niet plakken en linken
notif-error-annotation-update,Error during annotation update,Une erreur a empêché de modifier l'annotation,Error durante la actualización de la anotación,Door een fout kon de annotatie niet worden bewerkt
notif-error-annotation-validation,Failed to validate the annotation,Une erreur a empêché de valider l'annotation,Error al validar la anotación,Door een fout kon de annotatie niet worden gevalideerd
notif-error-attached-file-creation,Failed to attach the selected file,Une erreur a empêché l'upload du fichier joint,Error al adjuntar el archivo seleccionado,Een fout verhinderde het uploaden van het bijgevoegde file
notif-error-attached-file-deletion,Failed to delete attached file {filename},Une erreur a empêché la suppression du fichier joint {filename},Error al eliminar el archivo adjunto {filename},Een fout verhinderde het verwijderen van het bijgevoegde file {filename}
notif-error-cancel-review,Failed to cancel the review of the image,Une erreur a empêché d'annuler la validation de l'image,No se pudo cancelar la revisión de la imagen.,Een fout verhinderde het ongedaan maken van de afbeeldingsreview
notif-error-change-role,Failed to change the role of {username},Une erreur a empêché de changer le rôle de l'utilisateur {username},No se pudo cambiar el rol de {username},Een fout verhinderde het wijzigen van de rol van de user {username}
notif-error-change-status-image-filter-project,Failed to change the status of filter {filterName},Une erreur a empêché de changer le statut du filtre {filterName},Error al cambiar el estado del filtro {filterName},Een fout verhinderde het wijzigen van de status van filter {filterName}
notif-error-custom-ui-change,Failed to change custom UI property,Une erreur a empêché de mettre à jour les choix de personnalisation de l'interface,Error al cambiar la propiedad de interfaz personalizada,Een fout verhinderde het bijwerken van keuzes voor het aanpassen van de interface
notif-error-default-layer-add,Failed to add a default layer,Une erreur a empêché d'ajouter le calque aux calques par défaut,Error al agregar una capa predeterminada,Een fout verhinderde het toevoegen van de laag aan de defaultlagen
notif-error-default-layer-delete,Failed to delete default layer,Une erreur a empêché de supprimer le calque par défaut,Error al eliminar la capa predeterminada,Een fout verhinderde het verwijderen van de defaultlaag
notif-error-default-layer-update,Error during update of default layer,Une erreur a empêché de mettre à jour le calque par défaut,Error durante la actualización de la capa predeterminada,Door een fout kon de defaultlaag niet worden bijgewerkt
notif-error-default-property-update,Failed to update the default property,Une erreur a empêché la modification de la propriété par défaut,Error al actualizar la propiedad predeterminada,Door een fout kon de eigenschap door uitsluiting niet worden gewijzigd
notif-error-delete-uploaded-file,Failed to delete the uploaded file (unexpected error),Une erreur a empêché de supprimer le fichier,Error al eliminar el archivo cargado (error inesperado),Een fout verhinderde het verwijderen van het bestand
notif-error-delete-used-uploaded-file,This image has instances in active projects ({projects}) under the following names: {names},Cette image est utilisée dans des projets ({projects}) sous les noms suivants : {names},Esta imagen tiene instancias en proyectos activos ({proyectos}) con los siguientes nombres: {names},Deze afbeelding wordt gebruikt in projecten ({projects}) onder de volgende namen: {names}
notif-error-failed-to-connect-as-user,Failed to connect as the selected user,Une erreur a empêché la connexion,No se pudo conectar como el usuario seleccionado,Een fout verhinderde de verbinding
notif-error-failed-to-switch-back-as-real-user,Failed to switch back to real account,Une erreur a empêché de vous reconnecter sous votre vrai compte,Error al volver a la cuenta real,Door een fout kon je niet opnieuw inloggen met je echte account
notif-error-fetch-annotation-comments,Failed to retrieve the comments of this annotation,Erreur lors de la récupération des commentaires,Error al recuperar los comentarios de esta anotación,Fout bij het ophalen van opmerkingen
notif-error-fetch-annotations-viewer,An error occurred while fetching annotations,Erreur lors du chargement des annotations,Se produjo un error al recuperar anotaciones,Fout bij het laden van annotaties
notif-error-fetch-next-image,Failed to load next image,Une erreur a empêché de charger l'image suivante,Error al cargar la siguiente imagen,Een fout verhinderde het laden van de volgende afbeelding
notif-error-fetch-previous-image,Failed to load previous image,Une erreur a empêché de charger l'image précédente,Error al cargar la imagen anterior,Een fout verhinderde het laden van de vorige afbeelding
notif-error-first-image,This is the first image of the project,Il s'agit de la première image du projet,Esta es la primera imagen del proyecto.,Dit is de eerste afbeelding van het project
notif-error-forgot-password,Failed to send an email allowing to reset the password,Une erreur a empêché de vous envoyer un e-mail,Error al enviar el enlace de restablecimiento de contraseña a la dirección de correo electrónico proporcionada,Door een fout konden we je geen e-mail sturen
notif-error-forgot-username,Failed to send an email to the provided email address,Une erreur a empêché de vous envoyer un e-mail,Error de envío a la dirección de correo electrónico proporcionada,Door een fout konden we u geen e-mail sturen
notif-error-general-config-update,Error during update of configuration,Une erreur a empêché de mettre à jour la configuration,Error durante la actualización de la configuración,Door een fout kon de configuratie niet worden bijgewerkt
notif-error-image-calibration,Failed to calibrate image {imageName},Une erreur a empêché de calibrer l'image {imageName},Error al calibrar la imagen {imageName},Een fout verhinderde het kalibreren van de afbeelding {imageName}
notif-error-image-deletion,Failed to delete image {imageName},Une erreur a empêché la suppression de l'image {imageName},Error al eliminar la imagen {imageName},Een fout verhinderde het verwijderen van de afbeelding {imageName}
notif-error-image-group-creation,Failed to create image group,Une erreur a empêché la création du groupe d'images,No se pudo crear el grupo de imágenes,Kan afbeeldingsgroep niet maken
notif-error-image-rename,Failed to rename image {imageName},Une erreur a empêché de renommer l'image {imageName},Error al cambiar el nombre de la imagen {imageName},Een fout verhinderde het hernoemen van de afbeelding {imageName}
notif-error-image-group-deletion,Failed to delete image group {groupName},Une erreur a empêché la suppression du groupe d'images {groupName},Error al eliminar el grupo de imágenes {groupName},Kan afbeeldingsgroep {groupName} niet verwijderen
notif-error-invalid-key-prefix,The property key cannot start by {prefix}: this prefix is reserved for internal use,La clé ne peut commencer par {prefix} : ce préfixe est réservé par Cytomine pour une utilisation interne.,La clave de propiedad no puede comenzar por {prefijo}: este prefijo está reservado para uso interno,De sleutel mag niet beginnen met {prefix}: dit voorvoegsel is door Cytomine gereserveerd voor intern gebruik.
notif-error-image-group-link-creation,Failed to add image {imageName} to an image group,Une erreur a empêché l'ajout de l'image {imageName} à un groupe d'images,Error al agregar la imagen {imageName} a un grupo de imágenes,Kan afbeelding {imageName} niet toevoegen aan een afbeeldingsgroep
notif-error-keys-not-regenerated,Error during the regeneration of API keys,Une erreur a empêché de regénérer les clés API,Error durante la regeneración de claves API,Een fout verhinderde het opnieuw genereren van API-sleutels
notif-error-image-group-link-deletion,Failed to remove image {imageName} from its image group,Une erreur a empêché le retrait de l'image {imageName} de son groupe d'images,No se pudo eliminar la imagen {imageName} de su grupo de imágenes,Kan afbeelding {imageName} niet verwijderen uit de afbeeldingsgroep
notif-error-last-image,This is the last image of the project,Il s'agit de la dernière image du projet,Esta es la última imagen del proyecto.,Dit is de laatste afbeelding van het project
notif-error-image-group-rename,Failed to rename image group {imageName},Une erreur a empêché de renommer le groupe d'images {imageName},Error al cambiar el nombre del grupo de imágenes {imageName},Kan de afbeeldingsgroep {imageName} niet hernoemen
notif-error-loading-annotation-layers,Failed to fetch annotation layers,Erreur lors du chargement de la liste des calques d'annotations,Error al recuperar capas de anotación,Fout bij het laden van de lijst met annotatielagen
notif-error-logout,Error during logout,Erreur lors de la déconnexion,Error al cerrar sesión,Fout tijdens uitloggen
notif-error-magnification-update,Failed to update the magnification image {imageName},Une erreur a empêché de mettre à jour le grossissement de l'image {imageName},Error al actualizar el nivel de aumento de la imagen {imageName},Een fout verhinderde het updaten van de vergroting vande afbeelding {imageName}
notif-error-new-comment,Failed to add a comment to the annotation,Une erreur a empêché la création du commentaire,Error al añadir un comentario a la anotación,Een fout verhinderde het maken van de opmerking
notif-error-not-enough-representative, Failed to remove the representative role. At least one representative must be in the project, Impossible retirer l'utilisateur des personnes de contact. Il faut au moins une personnes de contact dans un projet,, De user kan niet verwijderen worden uit contactpersonen. In een project is minimaal één contactpersoon vereist
notif-error-ontology-creation,Failed to create the ontology,Une erreur a empêché la création de l'ontologie,Error al crear la ontología,Een fout verhinderde het creëeren van de ontologie
notif-error-ontology-deletion,Failed to delete the ontology,Une erreur a empêché la suppression de l'ontologie,Error al eliminar la ontología,Een fout verhinderde het verwijderen van de ontologie
notif-error-ontology-rename,Failed to rename ontology {name},Une erreur a empêché de renommer l'ontologie {name},Error al cambiar el nombre de ontología {name},Een fout verhinderde het hernoemen van de ontologie {name}
notif-error-ontology-tree-update,Failed to update the ontology tree organization,Une erreur a empêché de modifir l'arborescence de l'ontologie,Error al actualizar la jerarquía de términos en la ontología,Een fout verhinderde het wijzigen van de ontologieboom
notif-error-password-not-saved,Error during update of password,Une erreur a empêché de sauvegarder le mot de passe,A ocurrido un error durante la actualización de contraseña,Een fout verhinderde het opslaan van het paswoord
notif-error-profile-computation,Error during profile computation,Une erreur a empêché le calcul du profil,Error durante el cálculo del perfil,Fout tijdens profielberekening
notif-error-project-already-exists,Failed to create the project: This project name is already used,Une erreur a empêché la création du projet: ce nom de projet est déjà utilisé,,Een fout verhinderde het aanmaken van het project: deze projectnaam is al in gebruik
notif-error-profile-deletion,Error during profile deletion,Une erreur a empêché la suppresion du profil,Error durante la eliminación del perfil,Fout tijdens het verwijderen van het profiel
notif-error-project-creation,Failed to create the project,Une erreur a empêché la création du projet,,Door een fout kon het project niet worden aangemaakt
notif-error-project-deletion,Failed to delete project {projectName},Une erreur a empêché la suppression du projet {projectName},Error al eliminar el proyecto {projectName},Een fout verhinderde de verwijdering van het project {projectName}
notif-error-project-ontology-change-job-terms,Cannot change the ontology of this project: some analyses associated terms to annotations. You must clean these associations prior to the ontology change.,Impossible de changer l'ontologie de ce projet : des analyses ont associé des termes à des annotations.,No se puede cambiar la ontología de este proyecto: algunos análisis asocian términos a anotaciones. Debe limpiar estas asociaciones antes del cambio de ontología.,Onmogelijk om de ontologie van dit project te veranderen: analyses hebben geassocieerde termen met annotaties.
notif-error-project-ontology-change-reviewed-terms,Cannot change the ontology of this project: some terms are associated to reviewed annotations. You must remove these associations prior to the ontology change.,Impossible de changer l'ontologie de ce projet : des termes sont associés à des annotations validées.,No se puede cambiar la ontología de este proyecto: algunos términos están asociados a anotaciones revisadas. Debe eliminar estas asociaciones antes del cambio de ontología.,De ontologie van dit project kan niet worden gewijzigd: termen zijn gekoppeld aan gevalideerde annotaties.
notif-error-project-ontology-change,Failed to change the ontology of project {projectName},Une erreur a empêché de modifier l'ontologie du projet {projectName},Error al cambiar la ontología del proyecto {projectName},Een fout verhinderde het wijzigen van de ontologie van het project {projectName}
notif-error-project-rename,Failed to rename project {projectName},Une erreur a empêché de renommer le projet {projectName},Error al cambiar el nombre del proyecto {projectName},Een fout verhinderde het hernoemen van het project {projectName}
notif-error-redo,Failed to redo last action,Une erreur a empêché de rétablir la dernière action,Error al rehacer la última acción,Een fout verhinderde het opnieuw uitvoeren van de laatste actie
notif-error-register-username-exists,This username is already used,Ce nom d'utilisateur est déjà utilisé,El nombre de usuario ya esta siendo usado,Deze usersnaam is al in gebruik
notif-error-register,Error during registration,Une erreur s'est produite lors de l'inscription,Error durante el registro,Er is een fout opgetreden tijdens het registreren
notif-error-remove-project-members,Failed to remove the selected members from project,Une erreur a empêché de retirer les membres sélectionnés du projet,Error al eliminar los miembros seleccionados del proyecto,Door een fout konden geselecteerde leden niet uit het project worden verwijderd
notif-error-remove-prop,Failed to remove the property,Une erreur a empêché de supprimer la propriété,Error al eliminar la propiedad,Door een fout kon de eigenschap niet worden verwijderd
notif-error-remove-term,Failed to remove the term,Une erreur a empêché de retirer le terme,Error al eliminar el término,Een fout verhinderde het verwijderen van de term
notif-error-remove-track,Failed to remove the track,Impossible de retirer la trace,,Kan track mag niet verwijderen worden
notif-error-review-accept-all,Failed to accept all annotations,Une erreur a empêché de valider toutes les annotations,Error al aceptar todas las anotaciones,Door een fout konden alle annotaties niet worden gevalideerd
notif-error-review-reject-all,Failed to reject all annotations,Une erreur a empêché de rejeter toutes les annotations,Error al rechazar todas las anotaciones,Door een fout konden alle annotaties niet worden geweigerd
notif-error-save-image-consultation,Failed to save image consultation,Une erreur empêche de sauvegarder la consultation de l'image,Error al guardar la consulta de imagen,Een fout verhindert het opslaan van de afbeeldingconsultatie
notif-error-save-prop,Failed to save the property,Une erreur a empêché de créer la propriété,Error al guardar la propiedad,Door een fout kon de eigenschap niet worden gemaakt
notif-error-save-user-position,Failed to save your position in the image,Une erreur empêche de sauvegarder votre position dans l'image,Error al guardar tu posición en la imagen,Een fout verhindert het opslaan van uw positie in de afbeelding
notif-error-start-review,Failed to start reviewing the image,Une erreur a empêché de commencer la validation de l'image,Error al comenzar a revisar la imagen,Door een fout kon de afbeeldingsreview niet worden gestart
notif-error-tag-creation,Failed to create the tag,Une erreur a empêché la création du tag,Error al crear la etiqueta,Door een fout kon de tag niet worden gemaakt
notif-error-tag-delete,Failed to delete tag {tagName},Une erreur a empêché de supprimer le tag {tagName},Error al eliminar la etiqueta {tagName},Een fout verhinderde het verwijderen van de tag {tagName}
notif-error-tag-update,Failed to update tag,Une erreur a empêché de modifier le tag,Error al actualizar la etiqueta,Door een fout kon de tag niet worden gewijzigd
notif-error-target-annotation,Failed to fetch the requested annotation,Impossible d'afficher l'annotation demandée,Error al recuperar la anotación solicitada,Het is niet mogelijk om de annotatie weer te geven
notif-error-term-creation,Failed to create the term,Une erreur a empêché la création du terme,Error al crear el término,Door een fout kon de term niet gecreëerd worden
notif-error-term-deletion,Failed to delete the term. Ensure that no annotation is associated to this term.,Le terme n'a pas pu être supprimé. Assurez-vous qu'aucune annotation n'est associée à ce terme.,No se pudo eliminar el término. Asegúrese de que ninguna anotación esté asociada a este término.,De term kan niet worden verwijderd. Zorg ervoor dat er geen annotatie aan deze term is gekoppeld.
notif-error-term-update,Failed to update the term,Une erreur a empêche la modification du terme,Error al actualizar el término,Een fout a verhindert de wijziging van de term
notif-error-track-creation,Failed to create the track,Erreur durant la création de la trace,,Fout tijdens het maken van een track
notif-error-track-deletion,Failed to delete the track.,Erreur lors de la suppression de la trace,,Fout bij verwijderen van de track
notif-error-track-update,Failed to update the track,Erreur durant la modification de la trace,,Fout bij het wijzigen van de track
notif-error-tracked-user-position,Failed to retrieve the position of the followed user,Erreur lors de la récupération de la position de l'utilisateur suivi,Error al recuperar la posición del usuario seguido,Fout bij het ophalen van de positie van de gevolgde user
notif-error-undo,Failed to undo last action,Une erreur a empêché d'annuler la dernière action,No se pudo deshacer la última acción,Een fout verhinderde het ongedaan maken van de laatste actie
notif-error-unvalidate-review,Failed to unvalidate the image review,Une erreur a empêché d'annuler la validation de l'image,No se pudo invalidar la revisión de la imagen,Een fout verhinderde het ongedaan maken van de afbeeldingsreview
notif-error-update-description,Failed to update description,Une erreur a empêché de sauvegarder la description,Error al actualizar la descripción,Een fout verhinderde het opslaan van de beschrijving
notif-error-user-creation,Failed to create the user,Une erreur a empêché la création de l'utilisateur,Error al crear el usuario,Een fout verhinderde het aanmaken van de user
notif-error-user-details-not-saved,Error during update of user details,Une erreur a empêché la mise à jour du profil,A ocurrido un error durante la actualización de los detalles del usuario,Door een fout kon het profiel niet worden bijgewerkt
notif-error-user-lock,Failed to lock the user,Une erreur a empêché de verrouiler l'utilisateur,Error al bloquear el usuario,Een fout verhinderde het uitsluiten van de user
notif-error-user-unlock,Failed to unlock the user,Une erreur a empêché de déverrouiler l'utilisateur,Error al desbloquear el usuario,Door een fout kon de user niet worden ontgrendeld
notif-error-user-update,Failed to update the user,Une erreur a empêché la modification de l'utilisateur,Error al actualizar al usuario,Een fout verhinderde de wijziging van de user
notif-error-validate-review,Failed to validate the image,Une erreur a empêché la validation de l'image,Error al validar la imagen,Een fout verhinderde de review van de afbeelding
notif-error-welcome-message-update,Failed to update the welcome message,Une erreur a empêché de mettre à jour le message de bienvenue,Error al actualizar el mensaje de bienvenida,Door een fout kon het welkomstbericht niet worden bijgewerkt
notif-success-add-image,Image {imageName} was successfully added to project {projectName},L'image {imageName} a été ajoutée au projet {projectName},La imagen {imageName} se agregó correctamente al proyecto {projectName},De afbeelding {imageName} is toegevoegd aan het project {projectName}
notif-success-add-project-members,The selected users were correctly added as project members,Les utilisateurs sélectionnés ont été ajoutés au projet,Los usuarios seleccionados se agregaron correctamente al proyecto,De geselecteerde gebruikers zijn toegevoegd aan het project
notif-success-add-tag-domain-association,The selected tags were correctly associated,Les tags sélectionnés ont été associés,Las etiquetas seleccionadas se asociaron correctamente,De geselecteerde tags zijn gekoppeld
notif-success-annot-URL-copied,Annotation URL copied to clipboard,L'URL de l'annotation a été copiée dans le presse-papier,URL de anotación copiada al portapapeles,Annotatie-URL is naar het klembord gekopieerd
notif-success-annotation-copy,Annotation has been copied,L'annotation a été copiée,,De annotatie is gekopieerd
notif-success-annotation-repeat,Annotation has been repeated,L'annotation a été répétée,,De annotatie is herhaald
notif-success-attached-file-creation,File correctly attached,Le fichier joint a bien été uploadé,Archivo adjuntado correctamente,Het bijgevoegde file is succesvol geüpload.
notif-success-attached-file-deletion,Attached file {filename} correctly deleted,Le fichier joint {filename} a bien été supprimé,El archivo adjunto {filename} se ha eliminado correctamente,Het bijgevoegde file{filename} is succesvol verwijderd
notif-success-annotation-link-creation,Annotation successfully linked,L'annotation a été liée avec succès,Anotación vinculada con éxito,Annotatie succesvol gekoppeld
notif-success-default-property-update,Default property successfully updated,La propriété par défaut a bien été mise à jour,Propiedad predeterminada actualizada correctamente,De eigenschap door uitsluiting is succesvol bijgewerkt
notif-success-annotation-link-deletion,Annotation successfully unlinked,L'annotation a été dissociée avec succès,Anotación desvinculada con éxito,Annotatie ontkoppeld
notif-success-forgot-password,A mail containing a connection link was sent to your email address,Un e-mail permettant de réinitialiser votre mot de passe a été envoyé à votre adresse e-mail,Se le ha enviado un enlace de conexión a su dirección de correo electrónico.,Er is een e-mail naar uw e-mailadres verzonden om uw wachtwoord opnieuw in te stellen
notif-success-annotation-link-paste,Annotation successfully pasted and linked,L'annotation a été collée en créant des liens avec succès,Anotación pegada y vinculada correctamente,Annotatie succesvol geplakt en gekoppeld
